Close,High_^NSEBANK,Low_^NSEBANK,Open,Volume_^NSEBANK,MA100,MA200,EMA50,RSI,MACD,MACD_Signal,STOCH_RSI_K,STOCH_RSI_D,sp500_ret_^GSPC,nasdaq_ret_^IXIC,vix_ret_^INDIAVIX,crude_ret_CL=F,usd_inr_ret_USDINR=X,fed_policy_flag,global_crash_flag,oil_shock_flag,war_flag,india_policy_flag
24798.9609375,24992.20868495897,24706.16123794504,24933.808975054675,0,23800.36189453125,21827.135346679686,24329.229174979915,66.91046367223132,180.0205489527325,141.59092277993358,0.7859468817167596,0.869237764356451,0.0006343478158390425,-0.0008171372567660207,0.013949419676304586,0.01879547925989633,0.0013081060157549285,1.0,0.0,0.0,0.0,0.0
24368.56640625,24709.41205443372,24339.717132151374,24704.2636767664,0,23820.46765625,21877.25801269531,24330.77227011842,48.124120602449885,134.78570157451395,140.22987853884968,0.4696388729968283,0.7190976811407715,-0.0030459176984141134,-0.005165720388111583,0.0,0.0027772146413846954,-0.0002332767227919419,0.0,0.0,0.0,0.0,0.0
24164.76953125,24363.51721805654,24015.16970991909,24361.267244243634,0,23838.704453125,21930.304145507813,24324.260499344524,45.550919858750234,81.55197412349298,128.49429765577835,0.20282064624144672,0.48613546698501153,0.0006477937229520947,0.000658599513185365,0.10146176212935543,0.002176075410717626,0.008067371225473963,0.0,0.0,0.0,0.0,0.0
24198.869140625,24236.667529440347,24017.121252979636,24105.319446651076,0,23857.622734375,21970.346435546875,24319.341841709123,47.80168823473848,41.63546733425028,111.12253159147275,0.03688257140410729,0.23644736354746076,-0.002222050282888466,-0.008764708259904053,0.04137390441920452,0.030793552664621693,0.0013687684157099866,0.0,0.0,0.0,0.0,0.0
23812.671875,24331.566222115693,23766.322805447864,24308.416101117782,0,23868.55109375,22004.42353515625,24299.46719240332,38.71699215355312,-20.920386437483103,84.71394798568159,0.019857246790705305,0.08652015481208643,7.216672978804795e-05,0.0015022647407427758,-0.030734620893731468,-0.006510918127920151,0.00576504812887535,0.0,0.0,0.0,0.0,0.0
24007.87109375,24073.9191535013,23610.824931558138,23803.773858751294,0,23882.58294921875,22036.1069140625,24288.02915451213,42.14821862776192,-54.12152637046893,56.946853114451486,0.045492256274319236,0.03407735815637728,0.004085143947080816,0.011457331412502603,0.07192570220815786,0.005011532694300547,0.0013008469182096416,0.0,0.0,0.0,0.0,0.0
24052.720703125,24227.167896218256,24004.52204405118,24113.71999480964,0,23895.439296875,22067.2285546875,24278.799126201502,34.91662210584606,-75.93929934365588,30.369622622830015,0.025635009483613785,0.030328170849546112,0.001204615596159142,2.9509068969257868e-05,-0.049783520741350396,-0.011123859285517623,0.002677935054996361,0.0,0.0,0.0,0.0,0.0
24103.12109375,24226.52005447951,24006.971817262558,24200.319186209203,0,23909.40013671875,22092.36251953125,24271.908180605937,32.887996711239566,-88.14704701531082,6.666288695201846,0.025635009483613785,0.03225409174718227,0.0037051100814438076,0.006587137784975328,-0.05163252097467974,0.0021333745679703586,-0.0025181367674166344,0.0,0.0,0.0,0.0,0.0
24113.021484375,24230.168564981028,24058.371726748504,24123.870968082345,0,23922.22951171875,22111.927548828124,24265.67592991291,31.6100153671878,-95.91722218381256,-13.850413480601034,0.0,0.01709000632240919,0.0021588381272976687,0.002300197890897193,-0.0024019002018368374,-0.0031633779422114428,0.004263902259876273,0.0,0.0,0.0,0.0,0.0
24057.771484375,24188.01997226505,24033.070599263054,24114.47004488736,0,23934.625390625,22140.252724609374,24257.52105452161,27.85103734397805,-105.3192999120256,-32.14419076688595,0.0,0.008545003161204595,0.0012467201713795006,0.00044703789550704087,-0.0529694899993165,-0.008726668835541296,-0.0019612282762204725,0.0,0.0,0.0,0.0,0.0
24189.71875,24241.76892607091,24074.069704008005,24083.27076890369,0,23949.80822265625,22168.872138671875,24254.861589194417,33.57930215048704,-100.95967238527737,-45.90728709056424,0.03441492665290658,0.011471642217635527,0.005646787369921524,0.007763252300207579,-0.007627131451960256,0.016206510218282677,-0.006472786945026843,0.0,0.0,0.0,0.0,0.0
24251.619140625,24310.817672839923,24155.77064282073,24209.27002237966,0,23964.1120703125,22198.423798828124,24254.73440901262,28.532158382128472,-91.45554931719744,-55.01693953589088,0.03850704378811006,0.024307323480338882,-0.0010736344069645076,0.0007319740454696522,-0.05038429980067316,-0.029533372178802697,0.002929864885224953,0.0,1.0,0.0,0.0,0.0
24347.166015625,24379.46642116081,24273.36804590856,24304.51807420041,0,23978.300390625,22228.154951171877,24258.35987181537,32.127395915477095,-75.34509763346068,-59.08257115540484,0.06815558189263675,0.04702585077788446,-0.0018044339160793177,-0.001585722246396859,0.024280616955248968,0.005883564823306431,0.003131433024011976,0.0,0.0,0.0,0.0,0.0
24107.169921875,24459.966615751226,24053.9713194646,24411.16639988272,0,23990.01525390625,22257.127861328125,24252.429763654858,29.63237845369987,-81.00930282274567,-63.46791748887301,0.0489426288918051,0.05186841819085064,0.002322412261707374,0.0011429070119248763,-0.02458302705931481,0.027026952166252505,6.064868433242054e-06,0.0,0.0,0.0,0.0,0.0
24360.966796875,24393.11681374697,23978.121638183187,24151.16845459003,0,24006.6415625,22287.648505859375,24256.686870057954,40.015067362329994,-64.27798292463194,-63.629930576024805,0.24485347238616395,0.1206505610568686,0.0018035072962026,0.0024744475596796267,0.05580557198185465,0.007462707811858982,-0.0026859040016459224,0.0,0.0,0.0,0.0,0.0
